Generated Query,First Document,Mean Content Precision,Mean Content Recall,Mean Content F1,First Exercise,Mean Exercise Precision,Mean Exercise Recall,Mean Exercise F1
"True or False: The Namibia Tourism Board is responsible for regulating and marketing tourism activities, as well as training individuals in the tourism industry.","#### Namibia Tourism Board:  
The Namibia Tourism Board (NTB) is charged with the responsibility of regulating and marketing tourism activities. This board is also responsible for training people engaged in the tourism industry. For example, the NTB has established offices abroad to market and promote tourism in Namibia. These offices are in different parts of the world such as Johannesburg, Cape Town, Germany, New York, England and Spain. As a result, this aggressive promotion increases the number of tourists in the country.",tensor(0.4992),tensor(0.5964),tensor(0.5422),"Explain how tourism is important in Tanzania, Namibia, and Switzerland.",tensor(0.5055),tensor(0.4719),tensor(0.4881)
Why are power and energy important for human life according to the context provided in the Geography textbook for Form Two students?,"## Chapter Eight (Sustainable use of power and energy resources)  
### Introduction  
Power and energy are important for every aspect of human life. They may be generated from waves, winds, waterfalls, solar, natural gases, geothermo, oil and coal. In this chapter, you will learn about the major sources of power, the methods of acquiring and extracting power and energy, and the uses of power and energy resources. You will also learn about the problems facing power and energy production, specifically solar and wind power production in the USA, hydroelectric and biogas production in Tanzania. Finally, you will learn about problems related to power and energy extraction in the USA and Tanzania.",tensor(0.4026),tensor(0.4746),tensor(0.4350),"Briefly, explain four uses of power and energy from different sources.",tensor(0.4872),tensor(0.4490),tensor(0.4670)
Describe two ways in which small-scale crop cultivation can be improved to be more intensive and productive.,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.3981),tensor(0.5482),tensor(0.4607),"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",tensor(0.5404),tensor(0.4321),tensor(0.4677)
True or False: Tea is only used as a beverage and has no other health benefits according to the information provided.,"#### Uses of tea:  
Tea is primarily used as a beverage. A person with a sore throat and a hoarse voice can get better after taking a few cups of strong tea.",tensor(0.4137),tensor(0.5105),tensor(0.4565),Mention three conditions necessary for successful growing of coffee.,tensor(0.3715),tensor(0.4286),tensor(0.3879)
True or False: Vegetation growth on fertile soil increases evapotranspiration.,"#### Soil:  
The type of soil also determines the amount of water that can be retained in the soil and the amount of water that can be drawn from the soil through transpiration or evaporation. Fertile soil tends to support the growth of vegetation which increases the rate of evapotranspiration. Soil, which supports vegetation, allows much evapotranspiration to take place.",tensor(0.4343),tensor(0.5510),tensor(0.4842),"Transpiration is...
(a) soil infiltration.
(b) water turning directly from ice to water vapour.
(c) evaporation from the leaves of trees.
(d) runoff from steep hills.",tensor(0.4378),tensor(0.4917),tensor(0.4632)
"Write a detailed essay on the process of harvesting, processing, storage, and transportation of tea.","### Tea:  
Tea is a plant whose leaves are used for making a beverage. In Tanzania, tea is mainly grown in Mbeya, Iringa, Njombe, Kagera, Kilimanjaro, and Tanga regions. Other major tea growing countries in the world are Kenya, Uganda, Malawi, China, Sri-Lanka, India, Indonesia, and Argentina.",tensor(0.3670),tensor(0.4909),tensor(0.4181),"Match each statement in Column A with the correct phrase in Column B:
| Column A | Column B |
| --------------------------------------------------------------------------------------------------------------------------- | -------------------------------- |
| 1. A type of agriculture involving growing of cash crops on large areas of land, mostly in tropical regions. | (i) Plantation agriculture |
| 2. Agriculture confined to the production of food crops for consumption by household members. | (f) Subsistence agriculture |
| 3. The system of keeping animals alongside cultivation. | (e) Mixed farming |
| 4. Another name for shifting cultivation. | (c) Slash and burn |
| 5. Beverage crops produced in plantations. | (g) Coffee and tea |
| 6. Labour is provided by the owner of the land and members of the family. | (h) Tea, cocoa and coffee |
| 7. A system of agriculture aimed at making profit through regular sale of farm products. | (b) Commercial livestock-keeping |
| 8. Countries practising the ranching system in the tropical savannah of Africa. | (l) Ranching |
| 9. It refers to the rearing of livestock with the main aim of producing meat, milk, wool and hides for commercial purposes. | (a) Tanzania, Ethiopia and Ghana |
| | (m) Tanzania, Kenya and Uganda |
| | (n) Coffee, maize and tea |",tensor(0.3555),tensor(0.4800),tensor(0.3988)
"Explain the significance of livestock industries in both Australia and Tanzania, highlighting the similarities and differences in livestock-keeping practices between the two countries based on the provided context from the textbook.","In both countries, dairy farming is practised where there is adequate water supply and plenty of pasture. Overall, the development of the livestock-keeping sector is important in both countries. Moreover, the two countries practise livestock at both the subsistence and commercial levels. The animals and their products can be used to meet family needs and sometimes be sold to raise revenue. In Tanzania, sedentary livestock-keeping is practised in densely populated areas and, hence, with a shortage of land such as the slopes of Mount Kilimanjaro and the Southern Highlands whereas in Australia it is practised specifically in the South East of the country.",tensor(0.4629),tensor(0.5269),tensor(0.4924),Elaborate challenges facing livestock-keeping in Australia.,tensor(0.5683),tensor(0.4674),tensor(0.5079)
"Explain the role of Tanzania National Parks Authority (TANAPA), Tanzania Wildlife Authority (TAWA), and Ngorongoro Conservation Area Authority (NCAA) in the management of national parks, game reserves, and conservation areas in Tanzania.","#### Management of national parks and game reserves in Tanzania:  
National parks in Tanzania are managed by the Tanzania National Parks Authority (TANAPA). This authority is responsible for the management and regulation of the use of all areas designated as national parks. The Tanzania Wildlife Authority (TAWA) is responsible for the management and regulation of the use of all the areas designated as game reserves and all wildlife outside national parks and the Ngorongoro Conservation Area (NCA). The NCA is managed by the Ngorongoro Conservation Area Authority (NCAA). This is the only conservation area in Tanzania where humans, livestock and wildlife share the same environment (multiple use area).",tensor(0.4987),tensor(0.6141),tensor(0.5503),Outline efforts made by Tanzania in conserving forests.,tensor(0.5852),tensor(0.3868),tensor(0.4648)
True or False: Managing livestock using traditional methods under nomadic pastoralism ensures the animals have a constant supply of water.,"#### Advantages of nomadic pastoralism:  
- Generally, managing livestock using traditional methods under nomadic pastoralism is cheap. It also ensures the availability of food to the family.
- In addition, indigenous species of cattle such as Zebu, Boran, and Ankole are resistant to diseases.
- Furthermore, the animals can tolerate walking over long distances and withstanding other environmental hardships such as high temperatures. They can also stay for a long time without water.
- Likewise, the cattle are cheap to manage in terms of shelter.",tensor(0.4662),tensor(0.6159),tensor(0.5305),Explain what nomadic pastoralism means.,tensor(0.4670),tensor(0.4241),tensor(0.4370)
"Exercise: 
Based on the context provided, design a plan to enhance a tourist site in Tanzania. Consider the following aspects:
1. Provision of training: Describe how you would provide training to local personnel to offer quality services to meet international standards at the tourist site.
2. Development of tourist attractions: Propose ideas on how to expand and diversify the tourist activities at the site to attract more visitors.
3. Improvement of infrastructure: Outline a plan to improve the existing accommodation, transport, and communication","- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",tensor(0.5436),tensor(0.5560),tensor(0.5494),"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",tensor(0.5097),tensor(0.4109),tensor(0.4549)
Explain how the overuse of the same plots of land and the practice of burning vegetation during farm preparation contribute to the challenges faced by subsistence farmers in rural areas.,"#### Disadvantages of small-scale crop cultivation:  
Small-scale crop cultivation is associated with loss of soil fertility due to overuse of the same plots of land. Moreover, the practice of burning vegetation during farm preparation tends to destroy soil nutrients, hence lower its fertility. As a result, subsistence or peasant farmers’ yields tend to fall. Such low yields are also contributed by low use of fertilisers and pesticides. Therefore, various ways are needed to reduce the challenges of small-scale crop cultivation.",tensor(0.4658),tensor(0.5945),tensor(0.5219),"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",tensor(0.4286),tensor(0.4614),tensor(0.4444)
What are planted forests and what are two examples of planted forests in Tanzania mentioned in the textbook?,"##### Forestry:  
Forestry is a set of practices that involve managing forests for ecological, social, and economic purposes. There are two types of forests: natural and man-made (planted) forests.  
##### Planted forests:  
Planted forests are those in which trees are planted by human beings. They are commonly known as grown trees. The trees may be obtained locally or from other countries. In Tanzania, mahogany and teak are examples of local species whereas pines and eucalyptus are species from other countries. Some examples of planted forests in Tanzania include The Sao Hill forest plantation in Mafinga, Iringa Region and The West Kilimanjaro forest plantation in Kilimanjaro Region.",tensor(0.4103),tensor(0.5215),tensor(0.4589),Differentiate between plantation agriculture and extensive cereal cultivation.,tensor(0.5042),tensor(0.4516),tensor(0.4764)
Explain how natural springs are formed based on the information provided in the textbook excerpt.,"#### Springs  
Springs refer to natural overflows onto the land surface after the aquifer has been filled with infiltrating water, or when the water table meets the earth’s surface. The amount of water released from the spring depends on the nature of the rocks and the position of the water table. A large amount of water from a spring can form a river while small amounts may form small channels.",tensor(0.3766),tensor(0.4628),tensor(0.4150),Name five uses of groundwater.,tensor(0.5606),tensor(0.4493),tensor(0.4988)
Explain the concept of subsistence farming and highlight three key characteristics that distinguish it from commercial agriculture.,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.3872),tensor(0.5068),tensor(0.4388),"Examples of societies that do not practise sedentary farming are:
(a) Sukuma, Gogo and Nyamwezi
(b) Chagga, Meru and Bena
(c) Sukuma, Meru and Nyamwezi
(d) Turkana, Maasai, Karamajong.",tensor(0.3516),tensor(0.4572),tensor(0.3962)
Define the challenges facing solar and wind energy production in the USA.,"#### Challenges facing solar and wind energy in USA:  
Although USA has a large and strong economy, it faces challenges related to the wind and solar energy sector. The following are some of the challenges.  
Solar panel efficiency: Most solar power panels are 10 – 20 percent efficient, as they are stationary and cannot move to capture the sun’s rays. That being the case, a large percentage of the energy from the sun remains largely untapped, although the cost of solar power has decreased.  
Reliability: Solar and wind energy are not reliable sources of energy because sunrays and wind happen naturally and human beings can hardly control their occurrence. The extent of solar and wind energy production will largely depend on the intensity of wind and sunrays and the technology available to tap them.",tensor(0.4245),tensor(0.6191),tensor(0.5024),State five challenges facing solar and wind energy production in USA.,tensor(0.8011),tensor(0.8146),tensor(0.8076)
Describe how South Korea's capital availability has contributed to the growth of electronic manufacturing industries in the country.,"#### Factors contributing to the development of electronic manufacturing industries in South Korea  
The following are factors that contribute to the development of electronic manufacturing industries in South Korea:  
- Capital: South Korea has capital which is available through bank loans and government assistance. This capital has enabled the growth and diversification of industries. Also, the capital has facilitated the development of infrastructure and factories in addition to funding scientific research for the development of such industries.
- Policies: South Korea’s government has supportive policies that promote the development of electronic industries by providing financial support through loans and research. The policies are also supportive in attracting foreign investors from Japan and the USA to invest in electronic manufacturing industries through friendly policies.",tensor(0.5002),tensor(0.5951),tensor(0.5376),Mention any five factors contributing to the development of electronic equipment industries in South Korea.,tensor(0.7138),tensor(0.6416),tensor(0.6756)
Define Opencast mining.,"Surface mining is done by removing (stripping) surface vegetation, dirt, and, if necessary, layers of bedrock in order to reach buried ore deposits. Techniques of surface mining include: open-pit mining or open cast mining, which is the recovery of materials from an open pit in the ground; and quarrying, identical to open-pit mining except that it refers to sand, stone and clay. Open cast mining is the cheapest method of extracting minerals. This method is used to extract minerals which usually occur close to the earth’s surface. This method involves removing the top layers of the earth and other overlying materials above the mineral ores. Figure 5.3 shows an open cast mine. The extraction involves the use of earth moving machines and bulldozers, and electric shovels. Sometimes explosion is used to blow overlying materials in order to reach the ore beneath. This method is cheaper because the output is bigger than the costs of running. The open cast method is used to extract quarrying",tensor(0.3014),tensor(0.4740),tensor(0.3677),"Explain the meaning of each of the following terms:
(a) Alluvial mining
(b) Opencast mining
(c) Shaft mining",tensor(0.4682),tensor(0.6301),tensor(0.5307)
List three areas in the USA where solar energy is harnessed on a large scale.,"### Solar and wind energy harnessing in USA  
USA is one of the leading countries in the world harnessing energy from the Sun. Before 2008, much of the electricity was generated from other sources such as fossil fuel and HEP. By 2018, solar power accounted for 1.44 percent of the total USA electricity, generating about 58.9 terawatt-hours (TWH).  
USA needs energy that is secure, reliable, protective of the environment, and able to address climate change, create jobs and improve public health. USA reduced the use of fossil fuel as a source of energy because it is expensive and not renewable. The American Government reduces the cost of solar power and increases the cost of fossil fuel to encourage use of the former. USA, as a highly developed country in terms of technology and economy, has a very high demand for power and energy for industrial and domestic use.",tensor(0.4329),tensor(0.5766),tensor(0.4938),State five challenges facing solar and wind energy production in USA.,tensor(0.5847),tensor(0.5293),tensor(0.5555)
Explain some of the disadvantages of nomadic pastoralism as discussed in the textbook.,"Nomadic pastoralism involves continual movement of pastoralists with large numbers of animals from place to place in search of pasture and water. People involved in this practice are called nomads or pastoralists. Tribes which practise nomadic pastoralism include the Maasai, Barbaig, Kwavi, and Karamajong. Nomadic pastoralism is mostly practised in sparsely populated areas where the natural vegetation is mainly grass and bushes and, sometimes, scattered trees. In these areas, rainfall is very low and unreliable. The pastoralists follow specific routes in their movements. Figure 2.10 shows a large herd of cattle. The animals kept by pastoralists are a source of food and income through the selling of animals and their products. Major products from animals are meat and milk. The pastoralists spend the money they earn to meet family needs such as buying cereals, paying school fees, and meeting health expenses. In addition, the cattle raised are used for paying bride price and giving gifts",tensor(0.3822),tensor(0.5074),tensor(0.4358),Explain what nomadic pastoralism means.,tensor(0.5599),tensor(0.5036),tensor(0.5226)
What are three advantages of small-scale crop cultivation mentioned in the textbook?,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.3751),tensor(0.4902),tensor(0.4238),"Examples of societies that do not practise sedentary farming are:
(a) Sukuma, Gogo and Nyamwezi
(b) Chagga, Meru and Bena
(c) Sukuma, Meru and Nyamwezi
(d) Turkana, Maasai, Karamajong.",tensor(0.3307),tensor(0.4106),tensor(0.3644)
Explain the concept of industrial pollution and provide detailed examples of at least three different types of pollutants that are harmful to human health and the environment. How can these pollutants be controlled or reduced according to the information provided in the textbook?,"#### Industrial pollution:  
The manufacturing process turns raw materials into useful goods. But some of the by-products of manufacturing waste materials left over or substances produced by the manufacturing process itself, may be harmful to the environment. Manufacturing contributes to air and water pollution for example the Wazo Hill Cement industry in Dar es Salaam.",tensor(0.5174),tensor(0.5370),tensor(0.5254),Define industrial pollution.,tensor(0.7476),tensor(0.4891),tensor(0.5864)
Statement: Growing crops on a small piece of land for subsistence farming aims to produce surplus crops for sale in local markets.,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.4237),tensor(0.5961),tensor(0.4927),Mention the effects of rapid population growth on small-scale crop cultivation.,tensor(0.5362),tensor(0.5274),tensor(0.5315)
True or False: Solar panels are 50-60 percent efficient in harnessing energy from the sun in the USA.,"#### Challenges facing solar and wind energy in USA:  
Although USA has a large and strong economy, it faces challenges related to the wind and solar energy sector. The following are some of the challenges.  
Solar panel efficiency: Most solar power panels are 10 – 20 percent efficient, as they are stationary and cannot move to capture the sun’s rays. That being the case, a large percentage of the energy from the sun remains largely untapped, although the cost of solar power has decreased.  
Reliability: Solar and wind energy are not reliable sources of energy because sunrays and wind happen naturally and human beings can hardly control their occurrence. The extent of solar and wind energy production will largely depend on the intensity of wind and sunrays and the technology available to tap them.",tensor(0.4512),tensor(0.5687),tensor(0.5023),State five challenges facing solar and wind energy production in USA.,tensor(0.5855),tensor(0.5372),tensor(0.5595)
"What are some strategies that can be implemented to mitigate the challenges of energy and power production, as discussed in the textbook?","### Addressing the challenges of energy and power production:  
Different measures can be taken to address power challenges and energy production challenges, they include the following:  
- Desilting of dams: Regular removal of silt (desilting) from the dams is recommended to maintain the necessary depth for power generation. If desilting is ignored, the decreased depth of dams may affect the production of HEP since the storage capacity of the dam is severely reduced.
- Alternative energy sources: Alternative sources of energy such as solar energy should be used to reduce the effect of pollution caused by the use of fossil fuels and fuelwood.
- Environmental conservation projects: The establishment of power and energy production projects should go hand in hand with environmental conservation projects such as afforestation, reforestation, and proper waste management.",tensor(0.4522),tensor(0.5448),tensor(0.4939),State five challenges facing solar and wind energy production in USA.,tensor(0.6441),tensor(0.5559),tensor(0.5967)
How is the Tanzanian government addressing the challenges faced in the production of natural gas in the country?,"#### Challenges of natural gas production in Tanzania:  
Natural gas production faces numerous challenges in different aspects. Natural gas is a non-renewable resource. Therefore, care has to be when extracting this resource. Natural gas production is new in Tanzania and, thus, it faces a shortage of skilled labour, especially in exploration and extraction activities. As a result, the government is often forced to employ foreign experts who are paid high salaries. Regarding the capacity to produce the natural gas, Tanzania has not been able to allocate enough funds for exploration, extraction, processing and distribution.",tensor(0.4740),tensor(0.5918),tensor(0.5231),Outline the challenges facing natural gas extraction in Tanzania.,tensor(0.7266),tensor(0.6243),tensor(0.6715)
"True or False: Improved infrastructure, such as better accommodation facilities and transportation options, can help enhance tourist movements and support the growth of tourism in a country.","- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",tensor(0.5220),tensor(0.5945),tensor(0.5547),"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",tensor(0.4720),tensor(0.4128),tensor(0.4397)
List three basic principles in agriculture.,"### The concept of agriculture  
Agriculture is a science which deals with crop cultivation and livestock keeping. It is the oldest human activity which has been practiced by many societies in the world. Through agriculture, human beings grow crops for use by households and supply to industries. Factors influencing agriculture include climate, water availability, soil characteristics and terrain. Agriculture is also influenced by availability of financial resources, infrastructure, technology and markets.",tensor(0.3479),tensor(0.4748),tensor(0.4006),Define agriculture.,tensor(0.6998),tensor(0.5932),tensor(0.6402)
Explain how developing tourist attractions can improve tourist access to attractions according to the context provided.,"- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",tensor(0.4252),tensor(0.5621),tensor(0.4833),"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",tensor(0.4740),tensor(0.5281),tensor(0.4993)
