Generated Query,First Content Document,Content Cosine Similarity,First Exercise Document,Exercise Cosine Similarity
"Here is a right or wrong statement for Form 2 students to answer:

The Namibia Tourism Board (NTB) is responsible for regulating and marketing agriculture activities.","#### Namibia Tourism Board:  
The Namibia Tourism Board (NTB) is charged with the responsibility of regulating and marketing tourism activities. This board is also responsible for training people engaged in the tourism industry. For example, the NTB has established offices abroad to market and promote tourism in Namibia. These offices are in different parts of the world such as Johannesburg, Cape Town, Germany, New York, England and Spain. As a result, this aggressive promotion increases the number of tourists in the country.",0.7842659950256348,"Explain how tourism is important in Tanzania, Namibia, and Switzerland.",0.2992591619491577
Define the significance of energy resources in human life.,"## Chapter Eight (Sustainable use of power and energy resources)  
### Introduction  
Power and energy are important for every aspect of human life. They may be generated from waves, winds, waterfalls, solar, natural gases, geothermo, oil and coal. In this chapter, you will learn about the major sources of power, the methods of acquiring and extracting power and energy, and the uses of power and energy resources. You will also learn about the problems facing power and energy production, specifically solar and wind power production in the USA, hydroelectric and biogas production in Tanzania. Finally, you will learn about problems related to power and energy extraction in the USA and Tanzania.",0.7102390766143799,"Briefly, explain four uses of power and energy from different sources.",0.2992072939872742
Describe three methods of enhancing subsistence farming in Tanzania.,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",0.7026686072349548,"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",0.26605950593948363
"Here is a true or false question concerning applications of tea for the Form 2 students:

True or False: Tea is used to relieve mental and physical fatigue.","#### Uses of tea:  
Tea is primarily used as a beverage. A person with a sore throat and a hoarse voice can get better after taking a few cups of strong tea.",0.7375192046165466,Mention three conditions necessary for successful growing of coffee.,0.2612405776977539
True or False: Soil absorption is a process whereby water that has reached the ground penetrates into the soil or rocks.,"#### Soil:  
The type of soil also determines the amount of water that can be retained in the soil and the amount of water that can be drawn from the soil through transpiration or evaporation. Fertile soil tends to support the growth of vegetation which increases the rate of evapotranspiration. Soil, which supports vegetation, allows much evapotranspiration to take place.",0.8257033467292786,"Transpiration is...
(a) soil infiltration.
(b) water turning directly from ice to water vapour.
(c) evaporation from the leaves of trees.
(d) runoff from steep hills.",0.3275377035140991
"Here is a question for your students to write in detail about tea:

Write a detailed description of the conditions required for growing tea in Tanzania, highlighting the ideal climate, rainfall, and soil requirements.","### Tea:  
Tea is a plant whose leaves are used for making a beverage. In Tanzania, tea is mainly grown in Mbeya, Iringa, Njombe, Kagera, Kilimanjaro, and Tanga regions. Other major tea growing countries in the world are Kenya, Uganda, Malawi, China, Sri-Lanka, India, Indonesia, and Argentina.",0.7620874762535095,"Match each statement in Column A with the correct phrase in Column B:
| Column A | Column B |
| --------------------------------------------------------------------------------------------------------------------------- | -------------------------------- |
| 1. A type of agriculture involving growing of cash crops on large areas of land, mostly in tropical regions. | (i) Plantation agriculture |
| 2. Agriculture confined to the production of food crops for consumption by household members. | (f) Subsistence agriculture |
| 3. The system of keeping animals alongside cultivation. | (e) Mixed farming |
| 4. Another name for shifting cultivation. | (c) Slash and burn |
| 5. Beverage crops produced in plantations. | (g) Coffee and tea |
| 6. Labour is provided by the owner of the land and members of the family. | (h) Tea, cocoa and coffee |
| 7. A system of agriculture aimed at making profit through regular sale of farm products. | (b) Commercial livestock-keeping |
| 8. Countries practising the ranching system in the tropical savannah of Africa. | (l) Ranching |
| 9. It refers to the rearing of livestock with the main aim of producing meat, milk, wool and hides for commercial purposes. | (a) Tanzania, Ethiopia and Ghana |
| | (m) Tanzania, Kenya and Uganda |
| | (n) Coffee, maize and tea |",0.27569558620452883
"Describe the significance of livestock-keeping in Australia, highlighting its economic importance and the types of livestock farming practices found in the country.","In both countries, dairy farming is practised where there is adequate water supply and plenty of pasture. Overall, the development of the livestock-keeping sector is important in both countries. Moreover, the two countries practise livestock at both the subsistence and commercial levels. The animals and their products can be used to meet family needs and sometimes be sold to raise revenue. In Tanzania, sedentary livestock-keeping is practised in densely populated areas and, hence, with a shortage of land such as the slopes of Mount Kilimanjaro and the Southern Highlands whereas in Australia it is practised specifically in the South East of the country.",0.8369181156158447,Elaborate challenges facing livestock-keeping in Australia.,0.31218868494033813
"Discuss the importance of involving local communities in the management of national parks and game reserves in Tanzania, highlighting the benefits and challenges of their involvement.","#### Management of national parks and game reserves in Tanzania:  
National parks in Tanzania are managed by the Tanzania National Parks Authority (TANAPA). This authority is responsible for the management and regulation of the use of all areas designated as national parks. The Tanzania Wildlife Authority (TAWA) is responsible for the management and regulation of the use of all the areas designated as game reserves and all wildlife outside national parks and the Ngorongoro Conservation Area (NCA). The NCA is managed by the Ngorongoro Conservation Area Authority (NCAA). This is the only conservation area in Tanzania where humans, livestock and wildlife share the same environment (multiple use area).",0.8116939306259155,Outline efforts made by Tanzania in conserving forests.,0.3238918900489807
True or False: Nomadic pastoralism is a cheap method of managing livestock.,"#### Advantages of nomadic pastoralism:  
- Generally, managing livestock using traditional methods under nomadic pastoralism is cheap. It also ensures the availability of food to the family.
- In addition, indigenous species of cattle such as Zebu, Boran, and Ankole are resistant to diseases.
- Furthermore, the animals can tolerate walking over long distances and withstanding other environmental hardships such as high temperatures. They can also stay for a long time without water.
- Likewise, the cattle are cheap to manage in terms of shelter.",0.7937780380249023,Explain what nomadic pastoralism means.,0.282250440120697
"Describe the improvements that can be made to enhance tourist sites in Tanzania. In your answer, explain how these improvements can lead to an increase in tourist arrivals and ultimately contribute to the country's economic growth.","- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",0.8621215462684632,"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",0.28085827827453613
"Explain the challenges faced by subsistence farmers in rural areas, highlighting the effects of population growth on their agricultural practices.","#### Disadvantages of small-scale crop cultivation:  
Small-scale crop cultivation is associated with loss of soil fertility due to overuse of the same plots of land. Moreover, the practice of burning vegetation during farm preparation tends to destroy soil nutrients, hence lower its fertility. As a result, subsistence or peasant farmers’ yields tend to fall. Such low yields are also contributed by low use of fertilisers and pesticides. Therefore, various ways are needed to reduce the challenges of small-scale crop cultivation.",0.8124392867088318,"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",0.29614914655685426
What is another name for planted forests?,"##### Forestry:  
Forestry is a set of practices that involve managing forests for ecological, social, and economic purposes. There are two types of forests: natural and man-made (planted) forests.  
##### Planted forests:  
Planted forests are those in which trees are planted by human beings. They are commonly known as grown trees. The trees may be obtained locally or from other countries. In Tanzania, mahogany and teak are examples of local species whereas pines and eucalyptus are species from other countries. Some examples of planted forests in Tanzania include The Sao Hill forest plantation in Mafinga, Iringa Region and The West Kilimanjaro forest plantation in Kilimanjaro Region.",0.6371921062469482,Differentiate between plantation agriculture and extensive cereal cultivation.,0.2640901684761047
"Explain the formation of natural springs, highlighting the role of infiltrating water and the position of the water table.","#### Springs  
Springs refer to natural overflows onto the land surface after the aquifer has been filled with infiltrating water, or when the water table meets the earth’s surface. The amount of water released from the spring depends on the nature of the rocks and the position of the water table. A large amount of water from a spring can form a river while small amounts may form small channels.",0.7879562258720398,Name five uses of groundwater.,0.2771196007728577
"What are the main characteristics of subsistence farming, and how do they influence the farming practices of peasants in Tanzania?","#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",0.748122489452362,"Examples of societies that do not practise sedentary farming are:
(a) Sukuma, Gogo and Nyamwezi
(b) Chagga, Meru and Bena
(c) Sukuma, Meru and Nyamwezi
(d) Turkana, Maasai, Karamajong.",0.27494322061538695
Define renewable energy and explain two challenges facing its production in the USA.,"#### Challenges facing solar and wind energy in USA:  
Although USA has a large and strong economy, it faces challenges related to the wind and solar energy sector. The following are some of the challenges.  
Solar panel efficiency: Most solar power panels are 10 – 20 percent efficient, as they are stationary and cannot move to capture the sun’s rays. That being the case, a large percentage of the energy from the sun remains largely untapped, although the cost of solar power has decreased.  
Reliability: Solar and wind energy are not reliable sources of energy because sunrays and wind happen naturally and human beings can hardly control their occurrence. The extent of solar and wind energy production will largely depend on the intensity of wind and sunrays and the technology available to tap them.",0.7441929459571839,State five challenges facing solar and wind energy production in USA.,0.3459654450416565
Describe the factors that contributed to the growth of electronic manufacturing industries in South Korea.,"#### Factors contributing to the development of electronic manufacturing industries in South Korea  
The following are factors that contribute to the development of electronic manufacturing industries in South Korea:  
- Capital: South Korea has capital which is available through bank loans and government assistance. This capital has enabled the growth and diversification of industries. Also, the capital has facilitated the development of infrastructure and factories in addition to funding scientific research for the development of such industries.
- Policies: South Korea’s government has supportive policies that promote the development of electronic industries by providing financial support through loans and research. The policies are also supportive in attracting foreign investors from Japan and the USA to invest in electronic manufacturing industries through friendly policies.",0.8022700428962708,Mention any five factors contributing to the development of electronic equipment industries in South Korea.,0.35420931577682496
Define Opencast mining.,"Surface mining is done by removing (stripping) surface vegetation, dirt, and, if necessary, layers of bedrock in order to reach buried ore deposits. Techniques of surface mining include: open-pit mining or open cast mining, which is the recovery of materials from an open pit in the ground; and quarrying, identical to open-pit mining except that it refers to sand, stone and clay. Open cast mining is the cheapest method of extracting minerals. This method is used to extract minerals which usually occur close to the earth’s surface. This method involves removing the top layers of the earth and other overlying materials above the mineral ores. Figure 5.3 shows an open cast mine. The extraction involves the use of earth moving machines and bulldozers, and electric shovels. Sometimes explosion is used to blow overlying materials in order to reach the ore beneath. This method is cheaper because the output is bigger than the costs of running. The open cast method is used to extract quarrying",0.4576398253440857,"Explain the meaning of each of the following terms:
(a) Alluvial mining
(b) Opencast mining
(c) Shaft mining",0.2250796914100647
List two states in the USA where solar energy is harnessed on a large scale.,"### Solar and wind energy harnessing in USA  
USA is one of the leading countries in the world harnessing energy from the Sun. Before 2008, much of the electricity was generated from other sources such as fossil fuel and HEP. By 2018, solar power accounted for 1.44 percent of the total USA electricity, generating about 58.9 terawatt-hours (TWH).  
USA needs energy that is secure, reliable, protective of the environment, and able to address climate change, create jobs and improve public health. USA reduced the use of fossil fuel as a source of energy because it is expensive and not renewable. The American Government reduces the cost of solar power and increases the cost of fossil fuel to encourage use of the former. USA, as a highly developed country in terms of technology and economy, has a very high demand for power and energy for industrial and domestic use.",0.8308998823165894,State five challenges facing solar and wind energy production in USA.,0.32448229789733884
"Explain in detail the characteristics and disadvantages of nomadic pastoralism, highlighting the effects of overgrazing and the challenges faced by the pastoralists.","Nomadic pastoralism involves continual movement of pastoralists with large numbers of animals from place to place in search of pasture and water. People involved in this practice are called nomads or pastoralists. Tribes which practise nomadic pastoralism include the Maasai, Barbaig, Kwavi, and Karamajong. Nomadic pastoralism is mostly practised in sparsely populated areas where the natural vegetation is mainly grass and bushes and, sometimes, scattered trees. In these areas, rainfall is very low and unreliable. The pastoralists follow specific routes in their movements. Figure 2.10 shows a large herd of cattle. The animals kept by pastoralists are a source of food and income through the selling of animals and their products. Major products from animals are meat and milk. The pastoralists spend the money they earn to meet family needs such as buying cereals, paying school fees, and meeting health expenses. In addition, the cattle raised are used for paying bride price and giving gifts",0.8277037501335144,Explain what nomadic pastoralism means.,0.2844359755516052
What are three benefits of small-scale crop cultivation (subsistence farming)?,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",0.7724427580833435,"Examples of societies that do not practise sedentary farming are:
(a) Sukuma, Gogo and Nyamwezi
(b) Chagga, Meru and Bena
(c) Sukuma, Meru and Nyamwezi
(d) Turkana, Maasai, Karamajong.",0.2800800561904907
"Discuss the causes and effects of environmental pollution from industries, highlighting the measures that can be taken to reduce industrial pollution in Tanzania.","#### Industrial pollution:  
The manufacturing process turns raw materials into useful goods. But some of the by-products of manufacturing waste materials left over or substances produced by the manufacturing process itself, may be harmful to the environment. Manufacturing contributes to air and water pollution for example the Wazo Hill Cement industry in Dar es Salaam.",0.7967122912406921,Define industrial pollution.,0.2949605226516724
"Here is a true or false statement about growing crops:

Growing crops for subsistence farming aims to produce surplus food for sale in international markets. (FALSE)","#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",0.760023009777069,Mention the effects of rapid population growth on small-scale crop cultivation.,0.30940269231796264
True or False: Solar and wind energy are reliable sources of energy in the USA.,"#### Challenges facing solar and wind energy in USA:  
Although USA has a large and strong economy, it faces challenges related to the wind and solar energy sector. The following are some of the challenges.  
Solar panel efficiency: Most solar power panels are 10 – 20 percent efficient, as they are stationary and cannot move to capture the sun’s rays. That being the case, a large percentage of the energy from the sun remains largely untapped, although the cost of solar power has decreased.  
Reliability: Solar and wind energy are not reliable sources of energy because sunrays and wind happen naturally and human beings can hardly control their occurrence. The extent of solar and wind energy production will largely depend on the intensity of wind and sunrays and the technology available to tap them.",0.8002305746078491,State five challenges facing solar and wind energy production in USA.,0.3282797336578369
What are the measures that can be taken to mitigate energy production challenges in Tanzania?,"### Addressing the challenges of energy and power production:  
Different measures can be taken to address power challenges and energy production challenges, they include the following:  
- Desilting of dams: Regular removal of silt (desilting) from the dams is recommended to maintain the necessary depth for power generation. If desilting is ignored, the decreased depth of dams may affect the production of HEP since the storage capacity of the dam is severely reduced.
- Alternative energy sources: Alternative sources of energy such as solar energy should be used to reduce the effect of pollution caused by the use of fossil fuels and fuelwood.
- Environmental conservation projects: The establishment of power and energy production projects should go hand in hand with environmental conservation projects such as afforestation, reforestation, and proper waste management.",0.790319812297821,State five challenges facing solar and wind energy production in USA.,0.3375993251800537
Explain how the Tanzanian government is addressing the challenges of natural gas production in the country.,"#### Challenges of natural gas production in Tanzania:  
Natural gas production faces numerous challenges in different aspects. Natural gas is a non-renewable resource. Therefore, care has to be when extracting this resource. Natural gas production is new in Tanzania and, thus, it faces a shortage of skilled labour, especially in exploration and extraction activities. As a result, the government is often forced to employ foreign experts who are paid high salaries. Regarding the capacity to produce the natural gas, Tanzania has not been able to allocate enough funds for exploration, extraction, processing and distribution.",0.8222434163093567,Outline the challenges facing natural gas extraction in Tanzania.,0.3589913249015808
"True or False: Improving infrastructure, such as transportation and communication networks, can enhance tourist attractions in Tanzania.","- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",0.834552264213562,"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",0.24565244913101197
"Here is a short exercise on basic principles in agriculture:

Write down five basic principles of agriculture:

1. _______________________________________________________
2. _______________________________________________________
3. _______________________________________________________
4. _______________________________________________________
5. _______________________________________________________","### The concept of agriculture  
Agriculture is a science which deals with crop cultivation and livestock keeping. It is the oldest human activity which has been practiced by many societies in the world. Through agriculture, human beings grow crops for use by households and supply to industries. Factors influencing agriculture include climate, water availability, soil characteristics and terrain. Agriculture is also influenced by availability of financial resources, infrastructure, technology and markets.",0.4564529836177826,Define agriculture.,0.08154883980751038
"Here is a detailed question for Form 2 students to explain how to improve tourist access to attractions:

Explain three ways in which the government and private sector can improve tourist access to attractions in Tanzania, ensuring sustainable tourism development.","- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",0.829682219028473,"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",0.313283360004425
"Here is a true or false statement for the students to answer:

Coffee can be grown in areas with a temperature range of 0°C to 10°C.","#### Conditions necessary for growing coffee:  
There are four essential growth conditions required for the cultivation of coffee:  
##### Climate  
Coffee is a tropical plant, which is also grown in semi-tropical climate. It requires heat, humidity, and abundant rainfall. The plant grows in warm to hot temperature ranging between 16°-21°C. Coffee needs abundant rainfall ranging from 1100 mm to 1780 mm annually and a relatively dry season for picking. Growth is most rapid during the hot rainy season, and during the cool dry season berries ripen and are ready for picking. Growth is most rapid during the hot rainy season, and during the cool dry season berries ripen and are ready for picking. Bright sunshine and warm weather are necessary for the harvesting. Hill slopes, which receive orographic rainfall, are thus best for coffee cultivation.  
##### Shade",0.7609414458274841,"Write True or False for the following statement:  
Brazil is a major coffee producer in the world.",0.30150785446166994
True or False: Biogas energy is not prominent at the local level in Tanzania because it requires complex technology.,"### Hydro-electric power and biogas in Tanzania:  
Hydro-electric power, as discussed earlier, is produced by utilizing the power of fast-moving water such as a waterfall. HEP is one of the main sources of power in Tanzania. In Tanzania, electricity generation depends heavily on HEP. However, this type of energy cannot be relied upon in times of drought. The government through the Tanzania Electric Supply Company (TANESCO), a parastatal organization, manages the HEP across the country. The company produces hydro-electricity from natural waterfalls or man-made dams and supplies it to the users in the country.",0.8430867671966553,Mention the challenges facing power and energy harnessing in Tanzania.,0.3315457582473755
True or False: Springs refer to natural underground flows of water that are tapped through boreholes or wells.,"#### Springs  
Springs refer to natural overflows onto the land surface after the aquifer has been filled with infiltrating water, or when the water table meets the earth’s surface. The amount of water released from the spring depends on the nature of the rocks and the position of the water table. A large amount of water from a spring can form a river while small amounts may form small channels.",0.8177550077438355,"Write True or False for the following statement:  
A natural forest refers to a collection of trees pat have naturally grown.",0.3106166124343872
"Here is a true/false statement about properties of tropical rainforests:

Write True or False: In an equatorial rainforest, trees grow to over 30 metres high.","#### Characteristics of an equatorial rainforest  
An equatorial rainforest has some characteristics that distinguish it from other types of forests. In an equatorial rainforest, the vegetation grows in layers. The upper layer forms a continuous canopy, which provides shade for lower layers. Trees grow to over 80 metres high. The second or middle layer grows up to about 30 metres high. The lower canopy grows to a range of 5 to 15 metres high. It consists of shrubs, palms and ferns with little undergrowth.  
The trees in this tropical rainforest are of different species, which include mahogany, rosewood, greenheart, ironwood and ebony. Most trees have large buttress roots. In addition, tropical rainforests contain climber trees.  
Nearly all the trees are broad-leaved and evergreen due to the availability of rainfall throughout the year. However, due to constant climatic conditions, plants produce flowers, fruits and shade their leaves at the same time.",0.7517316818237305,"Write True or False for the following statement:  
Important natural forests in Tanzania are found in Morogoro, Kagera, Coast, Kilimanjaro, Njombe, Tanga and Tabora regions.",0.3051137447357178
"Describe the importance of hydroelectric power and biogas energy resources in Tanzania, highlighting their uses at the local level and their role in waste management.","### Hydro-electric power and biogas in Tanzania:  
Hydro-electric power, as discussed earlier, is produced by utilizing the power of fast-moving water such as a waterfall. HEP is one of the main sources of power in Tanzania. In Tanzania, electricity generation depends heavily on HEP. However, this type of energy cannot be relied upon in times of drought. The government through the Tanzania Electric Supply Company (TANESCO), a parastatal organization, manages the HEP across the country. The company produces hydro-electricity from natural waterfalls or man-made dams and supplies it to the users in the country.",0.8450229406356812,Describe the lessons Tanzania can draw from solar energy production in USA.,0.34608103036880494
