Generated Query,First Document,Mean Content Precision,Mean Content Recall,Mean Content F1,First Exercise,Mean Exercise Precision,Mean Exercise Recall,Mean Exercise F1
"True or False: The Namibia Tourism Board has offices only in African countries to market and promote tourism.
","#### Namibia Tourism Board:  
The Namibia Tourism Board (NTB) is charged with the responsibility of regulating and marketing tourism activities. This board is also responsible for training people engaged in the tourism industry. For example, the NTB has established offices abroad to market and promote tourism in Namibia. These offices are in different parts of the world such as Johannesburg, Cape Town, Germany, New York, England and Spain. As a result, this aggressive promotion increases the number of tourists in the country.",tensor(0.4628),tensor(0.5667),tensor(0.5087),"Explain how tourism is important in Tanzania, Namibia, and Switzerland.",tensor(0.5200),tensor(0.4802),tensor(0.4989)
Define the significance of energy resources in human life as explained in the textbook.,"## Chapter Eight (Sustainable use of power and energy resources)  
### Introduction  
Power and energy are important for every aspect of human life. They may be generated from waves, winds, waterfalls, solar, natural gases, geothermo, oil and coal. In this chapter, you will learn about the major sources of power, the methods of acquiring and extracting power and energy, and the uses of power and energy resources. You will also learn about the problems facing power and energy production, specifically solar and wind power production in the USA, hydroelectric and biogas production in Tanzania. Finally, you will learn about problems related to power and energy extraction in the USA and Tanzania.",tensor(0.3924),tensor(0.5420),tensor(0.4551),"Briefly, explain four uses of power and energy from different sources.",tensor(0.5704),tensor(0.5631),tensor(0.5666)
Describe the ways in which small-scale or subsistence crop cultivation can be enhanced to increase productivity and sustainability.,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.4092),tensor(0.5513),tensor(0.4693),"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",tensor(0.5476),tensor(0.4308),tensor(0.4698)
True or False: Tea leaves can be used as a remedy for a sore throat and hoarse voice.,"#### Uses of tea:  
Tea is primarily used as a beverage. A person with a sore throat and a hoarse voice can get better after taking a few cups of strong tea.",tensor(0.4428),tensor(0.5527),tensor(0.4910),Mention three conditions necessary for successful growing of coffee.,tensor(0.3484),tensor(0.3973),tensor(0.3633)
True or False: Soil that supports vegetation allows less evapotranspiration to occur.,"#### Soil:  
The type of soil also determines the amount of water that can be retained in the soil and the amount of water that can be drawn from the soil through transpiration or evaporation. Fertile soil tends to support the growth of vegetation which increases the rate of evapotranspiration. Soil, which supports vegetation, allows much evapotranspiration to take place.",tensor(0.4587),tensor(0.5672),tensor(0.5059),"Transpiration is...
(a) soil infiltration.
(b) water turning directly from ice to water vapour.
(c) evaporation from the leaves of trees.
(d) runoff from steep hills.",tensor(0.4265),tensor(0.4594),tensor(0.4423)
"Write a detailed account of the tea cultivation process in Tanzania, covering aspects from farm preparation to the processing and storage of tea. Include the specific conditions required for tea growth and how these conditions influence the agricultural practices in regions like Mbeya and Iringa.","### Tea:  
Tea is a plant whose leaves are used for making a beverage. In Tanzania, tea is mainly grown in Mbeya, Iringa, Njombe, Kagera, Kilimanjaro, and Tanga regions. Other major tea growing countries in the world are Kenya, Uganda, Malawi, China, Sri-Lanka, India, Indonesia, and Argentina.",tensor(0.4594),tensor(0.4955),tensor(0.4760),"Match each statement in Column A with the correct phrase in Column B:
| Column A | Column B |
| --------------------------------------------------------------------------------------------------------------------------- | -------------------------------- |
| 1. A type of agriculture involving growing of cash crops on large areas of land, mostly in tropical regions. | (i) Plantation agriculture |
| 2. Agriculture confined to the production of food crops for consumption by household members. | (f) Subsistence agriculture |
| 3. The system of keeping animals alongside cultivation. | (e) Mixed farming |
| 4. Another name for shifting cultivation. | (c) Slash and burn |
| 5. Beverage crops produced in plantations. | (g) Coffee and tea |
| 6. Labour is provided by the owner of the land and members of the family. | (h) Tea, cocoa and coffee |
| 7. A system of agriculture aimed at making profit through regular sale of farm products. | (b) Commercial livestock-keeping |
| 8. Countries practising the ranching system in the tropical savannah of Africa. | (l) Ranching |
| 9. It refers to the rearing of livestock with the main aim of producing meat, milk, wool and hides for commercial purposes. | (a) Tanzania, Ethiopia and Ghana |
| | (m) Tanzania, Kenya and Uganda |
| | (n) Coffee, maize and tea |",tensor(0.4118),tensor(0.4873),tensor(0.4385)
"Describe the different systems and practices of livestock-keeping in Australia, highlighting the regional distribution of major livestock such as sheep and cattle, and discuss the importance of the livestock industry to the Australian economy. Include a discussion on the challenges posed by climate change on livestock farming in Australia.","In both countries, dairy farming is practised where there is adequate water supply and plenty of pasture. Overall, the development of the livestock-keeping sector is important in both countries. Moreover, the two countries practise livestock at both the subsistence and commercial levels. The animals and their products can be used to meet family needs and sometimes be sold to raise revenue. In Tanzania, sedentary livestock-keeping is practised in densely populated areas and, hence, with a shortage of land such as the slopes of Mount Kilimanjaro and the Southern Highlands whereas in Australia it is practised specifically in the South East of the country.",tensor(0.5055),tensor(0.5646),tensor(0.5332),Elaborate challenges facing livestock-keeping in Australia.,tensor(0.5951),tensor(0.4849),tensor(0.5292)
"Describe the different organizations responsible for the management and regulation of wildlife reserves in Tanzania, and explain how each contributes to the conservation and sustainable use of these areas. Include examples of specific wildlife reserves that each organization manages.","#### Management of national parks and game reserves in Tanzania:  
National parks in Tanzania are managed by the Tanzania National Parks Authority (TANAPA). This authority is responsible for the management and regulation of the use of all areas designated as national parks. The Tanzania Wildlife Authority (TAWA) is responsible for the management and regulation of the use of all the areas designated as game reserves and all wildlife outside national parks and the Ngorongoro Conservation Area (NCA). The NCA is managed by the Ngorongoro Conservation Area Authority (NCAA). This is the only conservation area in Tanzania where humans, livestock and wildlife share the same environment (multiple use area).",tensor(0.4461),tensor(0.5487),tensor(0.4916),Outline efforts made by Tanzania in conserving forests.,tensor(0.5709),tensor(0.4492),tensor(0.5021)
True or False: Nomadic pastoralism ensures that families always have access to sufficient food supplies.,"#### Advantages of nomadic pastoralism:  
- Generally, managing livestock using traditional methods under nomadic pastoralism is cheap. It also ensures the availability of food to the family.
- In addition, indigenous species of cattle such as Zebu, Boran, and Ankole are resistant to diseases.
- Furthermore, the animals can tolerate walking over long distances and withstanding other environmental hardships such as high temperatures. They can also stay for a long time without water.
- Likewise, the cattle are cheap to manage in terms of shelter.",tensor(0.4493),tensor(0.5865),tensor(0.5087),Explain what nomadic pastoralism means.,tensor(0.4837),tensor(0.4367),tensor(0.4503)
Describe the potential benefits of improving transportation infrastructure on the tourism industry in Tanzania. Include examples of specific types of infrastructure enhancements and their impact on both tourist satisfaction and local economic development.,"- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",tensor(0.4800),tensor(0.5449),tensor(0.5101),"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",tensor(0.4294),tensor(0.4518),tensor(0.4390)
Explain how the practice of burning vegetation during farm preparation affects soil fertility in small-scale crop cultivation.,"#### Disadvantages of small-scale crop cultivation:  
Small-scale crop cultivation is associated with loss of soil fertility due to overuse of the same plots of land. Moreover, the practice of burning vegetation during farm preparation tends to destroy soil nutrients, hence lower its fertility. As a result, subsistence or peasant farmers’ yields tend to fall. Such low yields are also contributed by low use of fertilisers and pesticides. Therefore, various ways are needed to reduce the challenges of small-scale crop cultivation.",tensor(0.4427),tensor(0.6074),tensor(0.5116),"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",tensor(0.4126),tensor(0.5084),tensor(0.4555)
What are the two main purposes of planting forests in Tanzania as mentioned in the textbook?,"##### Forestry:  
Forestry is a set of practices that involve managing forests for ecological, social, and economic purposes. There are two types of forests: natural and man-made (planted) forests.  
##### Planted forests:  
Planted forests are those in which trees are planted by human beings. They are commonly known as grown trees. The trees may be obtained locally or from other countries. In Tanzania, mahogany and teak are examples of local species whereas pines and eucalyptus are species from other countries. Some examples of planted forests in Tanzania include The Sao Hill forest plantation in Mafinga, Iringa Region and The West Kilimanjaro forest plantation in Kilimanjaro Region.",tensor(0.4005),tensor(0.4685),tensor(0.4312),Differentiate between plantation agriculture and extensive cereal cultivation.,tensor(0.5014),tensor(0.4304),tensor(0.4630)
"Explain in detail how natural springs are formed, including the role of the water table, aquifers, and the nature of the surrounding rocks.","#### Springs  
Springs refer to natural overflows onto the land surface after the aquifer has been filled with infiltrating water, or when the water table meets the earth’s surface. The amount of water released from the spring depends on the nature of the rocks and the position of the water table. A large amount of water from a spring can form a river while small amounts may form small channels.",tensor(0.4474),tensor(0.5453),tensor(0.4910),Name five uses of groundwater.,tensor(0.5738),tensor(0.4353),tensor(0.4950)
"Discuss the key characteristics of small-scale crop cultivation, also known as subsistence farming, as practiced in Tanzania. Include details on land usage, tools employed, types of crops grown, and the role of family in farming activities. How do these factors contribute to the sustainability and challenges of this type of agriculture?","#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.4963),tensor(0.5358),tensor(0.5148),"Examples of societies that do not practise sedentary farming are:
(a) Sukuma, Gogo and Nyamwezi
(b) Chagga, Meru and Bena
(c) Sukuma, Meru and Nyamwezi
(d) Turkana, Maasai, Karamajong.",tensor(0.3788),tensor(0.4224),tensor(0.3987)
"Define the term ""solar panel efficiency"" as it relates to the challenges facing solar energy in the USA.","#### Challenges facing solar and wind energy in USA:  
Although USA has a large and strong economy, it faces challenges related to the wind and solar energy sector. The following are some of the challenges.  
Solar panel efficiency: Most solar power panels are 10 – 20 percent efficient, as they are stationary and cannot move to capture the sun’s rays. That being the case, a large percentage of the energy from the sun remains largely untapped, although the cost of solar power has decreased.  
Reliability: Solar and wind energy are not reliable sources of energy because sunrays and wind happen naturally and human beings can hardly control their occurrence. The extent of solar and wind energy production will largely depend on the intensity of wind and sunrays and the technology available to tap them.",tensor(0.4136),tensor(0.5346),tensor(0.4659),State five challenges facing solar and wind energy production in USA.,tensor(0.6914),tensor(0.5957),tensor(0.6396)
"Describe the different factors that have contributed to the growth of South Korea's electronic manufacturing industries, highlighting how each factor specifically supports the industry.","#### Factors contributing to the development of electronic manufacturing industries in South Korea  
The following are factors that contribute to the development of electronic manufacturing industries in South Korea:  
- Capital: South Korea has capital which is available through bank loans and government assistance. This capital has enabled the growth and diversification of industries. Also, the capital has facilitated the development of infrastructure and factories in addition to funding scientific research for the development of such industries.
- Policies: South Korea’s government has supportive policies that promote the development of electronic industries by providing financial support through loans and research. The policies are also supportive in attracting foreign investors from Japan and the USA to invest in electronic manufacturing industries through friendly policies.",tensor(0.4891),tensor(0.5489),tensor(0.5116),Mention any five factors contributing to the development of electronic equipment industries in South Korea.,tensor(0.7952),tensor(0.6514),tensor(0.7159)
Define opencast mining.,"Surface mining is done by removing (stripping) surface vegetation, dirt, and, if necessary, layers of bedrock in order to reach buried ore deposits. Techniques of surface mining include: open-pit mining or open cast mining, which is the recovery of materials from an open pit in the ground; and quarrying, identical to open-pit mining except that it refers to sand, stone and clay. Open cast mining is the cheapest method of extracting minerals. This method is used to extract minerals which usually occur close to the earth’s surface. This method involves removing the top layers of the earth and other overlying materials above the mineral ores. Figure 5.3 shows an open cast mine. The extraction involves the use of earth moving machines and bulldozers, and electric shovels. Sometimes explosion is used to blow overlying materials in order to reach the ore beneath. This method is cheaper because the output is bigger than the costs of running. The open cast method is used to extract quarrying",tensor(0.3014),tensor(0.4740),tensor(0.3677),"Explain the meaning of each of the following terms:
(a) Alluvial mining
(b) Opencast mining
(c) Shaft mining",tensor(0.4682),tensor(0.6301),tensor(0.5307)
List the states in the USA where solar energy is harnessed on a large scale.,"### Solar and wind energy harnessing in USA  
USA is one of the leading countries in the world harnessing energy from the Sun. Before 2008, much of the electricity was generated from other sources such as fossil fuel and HEP. By 2018, solar power accounted for 1.44 percent of the total USA electricity, generating about 58.9 terawatt-hours (TWH).  
USA needs energy that is secure, reliable, protective of the environment, and able to address climate change, create jobs and improve public health. USA reduced the use of fossil fuel as a source of energy because it is expensive and not renewable. The American Government reduces the cost of solar power and increases the cost of fossil fuel to encourage use of the former. USA, as a highly developed country in terms of technology and economy, has a very high demand for power and energy for industrial and domestic use.",tensor(0.4272),tensor(0.5685),tensor(0.4871),State five challenges facing solar and wind energy production in USA.,tensor(0.5565),tensor(0.5029),tensor(0.5283)
Explain in detail how nomadic pastoralism is practiced and its impact on the environment and local communities.,"Nomadic pastoralism involves continual movement of pastoralists with large numbers of animals from place to place in search of pasture and water. People involved in this practice are called nomads or pastoralists. Tribes which practise nomadic pastoralism include the Maasai, Barbaig, Kwavi, and Karamajong. Nomadic pastoralism is mostly practised in sparsely populated areas where the natural vegetation is mainly grass and bushes and, sometimes, scattered trees. In these areas, rainfall is very low and unreliable. The pastoralists follow specific routes in their movements. Figure 2.10 shows a large herd of cattle. The animals kept by pastoralists are a source of food and income through the selling of animals and their products. Major products from animals are meat and milk. The pastoralists spend the money they earn to meet family needs such as buying cereals, paying school fees, and meeting health expenses. In addition, the cattle raised are used for paying bride price and giving gifts",tensor(0.4055),tensor(0.5125),tensor(0.4527),Explain what nomadic pastoralism means.,tensor(0.5837),tensor(0.4860),tensor(0.5201)
What are some benefits of small-scale crop cultivation?,"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.3578),tensor(0.5257),tensor(0.4243),"Examples of societies that do not practise sedentary farming are:
(a) Sukuma, Gogo and Nyamwezi
(b) Chagga, Meru and Bena
(c) Sukuma, Meru and Nyamwezi
(d) Turkana, Maasai, Karamajong.",tensor(0.3208),tensor(0.4390),tensor(0.3689)
Discuss the impact of industrial pollution on the environment with reference to specific pollutants generated by manufacturing industries. Include examples of strategies that can be implemented to minimize environmental degradation caused by these pollutants.,"#### Industrial pollution:  
The manufacturing process turns raw materials into useful goods. But some of the by-products of manufacturing waste materials left over or substances produced by the manufacturing process itself, may be harmful to the environment. Manufacturing contributes to air and water pollution for example the Wazo Hill Cement industry in Dar es Salaam.",tensor(0.5085),tensor(0.5716),tensor(0.5372),Define industrial pollution.,tensor(0.7253),tensor(0.5268),tensor(0.6046)
Small-scale crop cultivation primarily aims to produce surplus food for sale in local markets. (Wrong),"#### Small-scale crop cultivation:  
Small-scale crop cultivation is the growing of crops on a small piece of land. It is also called subsistence farming. It aims to produce enough food for the wellbeing of families. In some instances, when the production is high, the surplus is sold. Individuals engaging in small-scale crop cultivation are known as peasants. They are also called subsistence farmers as they grow food crops to feed themselves and their families with little or no surplus for sale.  
As noted earlier, the agricultural system at subsistence level falls under this category. A farmer owns a small piece of land for food crops cultivation. The produce is enough only for the family. It is hand to mouth existence which may lead to famine if the harvest is bad. In years with good harvest the farmer may have surplus to sell to the local markets. The farms are small, about one to five hectares owned by the family. Application of machines is difficult as farms are small.",tensor(0.4294),tensor(0.5923),tensor(0.4960),Mention the effects of rapid population growth on small-scale crop cultivation.,tensor(0.5625),tensor(0.5328),tensor(0.5469)
True or False: The efficiency of solar panels in the USA is primarily hindered because they cannot move to track the sun's position.,"#### Challenges facing solar and wind energy in USA:  
Although USA has a large and strong economy, it faces challenges related to the wind and solar energy sector. The following are some of the challenges.  
Solar panel efficiency: Most solar power panels are 10 – 20 percent efficient, as they are stationary and cannot move to capture the sun’s rays. That being the case, a large percentage of the energy from the sun remains largely untapped, although the cost of solar power has decreased.  
Reliability: Solar and wind energy are not reliable sources of energy because sunrays and wind happen naturally and human beings can hardly control their occurrence. The extent of solar and wind energy production will largely depend on the intensity of wind and sunrays and the technology available to tap them.",tensor(0.4461),tensor(0.5667),tensor(0.4989),State five challenges facing solar and wind energy production in USA.,tensor(0.5729),tensor(0.5079),tensor(0.5373)
What does desilting of dams involve and why is it important for maintaining power generation?,"### Addressing the challenges of energy and power production:  
Different measures can be taken to address power challenges and energy production challenges, they include the following:  
- Desilting of dams: Regular removal of silt (desilting) from the dams is recommended to maintain the necessary depth for power generation. If desilting is ignored, the decreased depth of dams may affect the production of HEP since the storage capacity of the dam is severely reduced.
- Alternative energy sources: Alternative sources of energy such as solar energy should be used to reduce the effect of pollution caused by the use of fossil fuels and fuelwood.
- Environmental conservation projects: The establishment of power and energy production projects should go hand in hand with environmental conservation projects such as afforestation, reforestation, and proper waste management.",tensor(0.3887),tensor(0.4936),tensor(0.4346),State five challenges facing solar and wind energy production in USA.,tensor(0.4804),tensor(0.4516),tensor(0.4656)
"Explain how the Tanzanian government is addressing the challenges of natural gas production, particularly in terms of workforce skills and funding.","#### Challenges of natural gas production in Tanzania:  
Natural gas production faces numerous challenges in different aspects. Natural gas is a non-renewable resource. Therefore, care has to be when extracting this resource. Natural gas production is new in Tanzania and, thus, it faces a shortage of skilled labour, especially in exploration and extraction activities. As a result, the government is often forced to employ foreign experts who are paid high salaries. Regarding the capacity to produce the natural gas, Tanzania has not been able to allocate enough funds for exploration, extraction, processing and distribution.",tensor(0.4862),tensor(0.5556),tensor(0.5159),Outline the challenges facing natural gas extraction in Tanzania.,tensor(0.7840),tensor(0.5957),tensor(0.6768)
True or false: The Tanzanian government is actively expanding tourist attractions by opening up new areas and promoting diversified tourist activities.,"- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",tensor(0.5025),tensor(0.5926),tensor(0.5424),"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",tensor(0.4664),tensor(0.4444),tensor(0.4538)
Identify three basic principles of agriculture as discussed in the textbook.,"### The concept of agriculture  
Agriculture is a science which deals with crop cultivation and livestock keeping. It is the oldest human activity which has been practiced by many societies in the world. Through agriculture, human beings grow crops for use by households and supply to industries. Factors influencing agriculture include climate, water availability, soil characteristics and terrain. Agriculture is also influenced by availability of financial resources, infrastructure, technology and markets.",tensor(0.3551),tensor(0.4620),tensor(0.4008),Define agriculture.,tensor(0.7679),tensor(0.5209),tensor(0.6191)
Explain how improving infrastructure can enhance tourist access to attractions in Tanzania and discuss the role of the government and private sector in this process.,"- Provision of training: Tourism is a service industry that demands quality services for its sustainability. It is, therefore, important to have trained personnel who can offer quality services to meet international standards. This, in turn, will lead to increased influx of tourists.
- Development of tourist attractions: The government should invest in expanding the tourist attractions in the country. This can be done by opening up new areas and diversifying tourist activities but also by promoting them as viable alternatives.
- Improvement of infrastructure: There is a need to improve the existing accommodation, transport and communication infrastructure. This will improve the provision of services needed by tourists in the hospitality industry.",tensor(0.4637),tensor(0.5520),tensor(0.5030),"In a group of ten students, pair and share three major tourist attractions of a selected region in Tanzania.",tensor(0.5745),tensor(0.5186),tensor(0.5451)
